French,English
chercher,search
seulement,only
police,police
pensais,thought
demande,request
genre,kind
mois,month
frère,brother
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
chaque,each
parlé,speak
arrivé,come
longtemps,long time
heures,hours
vont,will
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
pourrais,could
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
trouve,find
perdu,lost
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
tellement,so much
enfant,child
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
demandé,request
mis,placed
droit,law
aimerais,would like to
aujourd'hui,today
enfin,finally
attendez,Wait
parti,left
arrêter,Stop
terre,Earth
compte,account
donne,given
fin,end
croire,believe
plutôt,rather
aura,will have
jouer,to play
